strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,SciMatch,ComMatch,JointMatch
aNRLFx,Rana aurora,Northern Red-legged Frog,58553,Rana aurora,Northern Red-legged Frog,LC,decreasing,match,match,matchmatch
aNRSAx,Plethodon electromorphus,Northern Ravine Salamander,59338,Plethodon electromorphus,Northern Ravine Salamander,LC,stable,match,match,matchmatch
aNRWAx,Necturus lewisi,Neuse River Waterdog,59432,Necturus lewisi,Neuse River Waterdog,NT,decreasing,match,match,matchmatch
aNTLSx,Eurycea bislineata,Northern Two-lined Salamander,59261,Eurycea bislineata,Northern Two-lined Salamander,LC,stable,match,match,matchmatch
aNZSAx,Plethodon dorsalis,Northern Zigzag Salamander,59336,Plethodon dorsalis,Northern Zigzag Salamander,LC,stable,match,match,matchmatch
aOATOx,Anaxyrus quercicus,Oak Toad,54743,Anaxyrus quercicus,Oak Toad,LC,stable,match,match,matchmatch
aOCFRx,Pseudacris ornata,Ornate Chorus Frog,55896,Pseudacris ornata,Ornate Chorus Frog,LC,stable,match,match,matchmatch
aOCSAx,Desmognathus ocoee,Ocoee Salamander,59254,Desmognathus ocoee,Ocoee Salamander,LC,stable,match,match,matchmatch
aODSAx,Desmognathus brimleyorum,Ouachita Dusky Salamander,59246,Desmognathus brimleyorum,Ouachita Dusky Salamander,LC,stable,match,match,matchmatch
aOKSAx,Eurycea tynerensis,Oklahoma Salamander,59277,Eurycea tynerensis,Oklahoma Salamander,NT,decreasing,match,match,matchmatch
aORFRx,Rana pretiosa,Oregon Spotted Frog,19179,Rana pretiosa,Oregon Spotted Frog,VU,decreasing,match,match,matchmatch
aOTAMx,Amphiuma pholeter,One-toed Amphiuma,59075,Amphiuma pholeter,One-toed Amphiuma,NT,decreasing,match,match,matchmatch
aOTSAx,Rhyacotriton olympicus,Olympic Torrent Salamander,59437,Rhyacotriton olympicus,Olympic Torrent Salamander,VU,decreasing,match,match,matchmatch
aOZSAx,Plethodon angusticlavius,Ozark Zigzag Salamander,59331,Plethodon angusticlavius,Ozark Zigzag Salamander,LC,stable,match,match,matchmatch
aPIFRx,Lithobates palustris,Pickerel Frog,58690,Lithobates palustris,Pickerel Frog,LC,stable,match,match,matchmatch
aPIGFx,Lithobates grylio,Pig Frog,58611,Lithobates grylio,Pig Frog,LC,decreasing,match,match,matchmatch
aPLFRx,Lithobates blairi,Plains Leopard Frog,58562,Lithobates blairi,Plains Leopard Frog,LC,decreasing,match,match,matchmatch
aPLSPx,Spea bombifrons,Plains Spadefoot,59044,Spea bombifrons,Plains Spadefoot,LC,stable,match,match,matchmatch
aPMSAx,Plethodon petraeus,Pigeon Mountain Salamander,59350,Plethodon petraeus,Pigeon Mountain Salamander,VU,stable,match,match,matchmatch
aPOSAx,Plethodon hubrichti,Peaks Of Otter Salamander,17632,Plethodon hubrichti,Peaks Of Otter Salamander,VU,unknown,match,match,matchmatch
aPYSAx,Desmognathus wrighti,Pygmy Salamander,59259,Desmognathus wrighti,Pygmy Salamander,LC,stable,match,match,matchmatch
aRCSAx,Plethodon jordani,Red-cheeked Salamander,59343,Plethodon jordani,Red-cheeked Salamander,NT,stable,match,match,matchmatch
aRESAx,Pseudotriton ruber,Red Salamander,59404,Pseudotriton ruber,Red Salamander,LC,stable,match,match,matchmatch
aRFSAx,Ambystoma bishopi,Reticulated Flatwoods Salamander,136128,Ambystoma bishopi,Reticulated Flatwoods Salamander,VU,decreasing,match,match,matchmatch
aRGCFx,Eleutherodactylus cystignathoides,Rio Grande Chirping Frog,56547,Eleutherodactylus cystignathoides,Rio Grande Chirping Frog,LC,stable,match,match,matchmatch
aRGLFx,Lithobates berlandieri,Rio Grande Leopard Frog,58561,Lithobates berlandieri,Rio Grande Leopard Frog,LC,stable,match,match,matchmatch
aRHSAx,Phaeognathus hubrichti,Red Hills Salamander,16801,Phaeognathus hubrichti,Red Hills Salamander,EN,decreasing,match,match,matchmatch
aRIFRx,Lithobates heckscheri,River Frog,58614,Lithobates heckscheri,River Frog,LC,stable,match,match,matchmatch
aRISAx,Ambystoma annulatum,Ringed Salamander,59052,Ambystoma annulatum,Ringed Salamander,LC,stable,match,match,matchmatch
aRLFRx,Lithobates onca,Relict Leopard Frog,19178,Lithobates onca,Relict Leopard Frog,EN,decreasing,match,match,matchmatch
aRLSAx,Plethodon shermani,Red-legged Salamander,59355,Plethodon shermani,Red-legged Salamander,VU,stable,match,match,matchmatch
aRMSAx,Plethodon ouachitae,Rich Mountain Salamander,17633,Plethodon ouachitae,Rich Mountain Salamander,NT,stable,match,match,matchmatch
aROTFx,Ascaphus montanus,Rocky Mountain Tailed Frog,54413,Ascaphus montanus,Rocky Mountain Tailed Frog,LC,unknown,match,match,matchmatch
aRSSAx,Batrachoseps relictus,Relictual Slender Salamander,2650,Batrachoseps relictus,Relictual Slender Salamander,DD,unknown,match,match,matchmatch
aSADSx,Desmognathus santeetlah,Santeetlah Dusky Salamander,59257,Desmognathus santeetlah,Santeetlah Dusky Salamander,LC,stable,match,match,matchmatch
aSCFRx,Acris gryllus,Southern Cricket Frog,55287,Acris gryllus,Southern Cricket Frog,LC,stable,match,match,matchmatch
aSDSAx,Plethodon shenandoah,Shenandoah Salamander,17629,Plethodon shenandoah,Shenandoah Salamander,VU,stable,match,match,matchmatch
aSEASx,Desmognathus monticola,Seal Salamander,59252,Desmognathus monticola,Seal Salamander,LC,stable,match,match,matchmatch
aSEESx,Desmognathus aeneus,Seepage Salamander,59243,Desmognathus aeneus,Seepage Salamander,NT,decreasing,match,match,matchmatch
aSGCSx,Plethodon metcalfi,Southern Gray-cheeked Salamander,59348,Plethodon metcalfi,Southern Gray-cheeked Salamander,LC,stable,match,match,matchmatch
aSHMSx,Plethodon virginia,Shenandoah Mountain Salamander,59360,Plethodon virginia,Shenandoah Mountain Salamander,NT,unknown,match,match,matchmatch
aSHSAx,Hydromantes shastae,Shasta Salamander,10305,Hydromantes shastae,Shasta Salamander,VU,stable,match,match,matchmatch
aSLFRx,Lithobates sphenocephalus,Southern Leopard Frog,58723,Lithobates sphenocephalus,Southern Leopard Frog,LC,stable,match,match,matchmatch
