jenkBINOMIAL,Jend,matchType,gapSppCode,gapSciName,gapComName,iucnTaxonID,iucnSciName,iucnComName
Pseudacris ocularis,1,Matched on iucnSciName,aLGFRx,Pseudacris ocularis,Little Grass Frog,55895,Pseudacris ocularis,Little Grass Frog
Pseudacris ornata,1,Matched on iucnSciName,aOCFRx,Pseudacris ornata,Ornate Chorus Frog,55896,Pseudacris ornata,Ornate Chorus Frog
Pseudacris streckeri,1,Matched on iucnSciName several times,aSTFRx,Pseudacris streckeri,Strecker's Chorus Frog,55898,Pseudacris streckeri,Strecker's Chorus Frog
Pseudacris streckeri,1,Matched on iucnSciName several times,aILGRx,Pseudacris illinoensis,Illinois Chorus Frog,55898,Pseudacris streckeri,Strecker's Chorus Frog
Pseudobranchus axanthus,1,Matched on iucnSciName,aSDSIx,Pseudobranchus axanthus,Southern Dwarf Siren,59489,Pseudobranchus axanthus,Narrow-striped Dwarf Siren
Pseudobranchus striatus,1,Matched on iucnSciName,aNDSIx,Pseudobranchus striatus,Northern Dwarf Siren,59490,Pseudobranchus striatus,Dwarf Siren
Pseudotriton montanus,1,Matched on iucnSciName,aMUSAx,Pseudotriton montanus,Mud Salamander,59403,Pseudotriton montanus,Mud Salamander
Pseudotriton ruber,1,Matched on iucnSciName,aRESAx,Pseudotriton ruber,Red Salamander,59404,Pseudotriton ruber,Red Salamander
Rana cascadae,1,Matched on iucnSciName,aCSFRx,Rana cascadae,Cascades Frog,19176,Rana cascadae,Cascades Frog
Rana muscosa,1,Matched on iucnSciName,aSMFRx,Rana muscosa,Southern Mountain Yellow-legged Frog,19177,Rana muscosa,Southern Mountain Yellow-legged Frog
Rana sierrae,1,Matched on iucnSciName,aSYLFx,Rana sierrae,Sierra Nevada Yellow-legged Frog,136114,Rana sierrae,Sierra Nevada Yellow-legged Frog
Rhyacotriton cascadae,1,Matched on iucnSciName,aCTRSx,Rhyacotriton cascadae,Cascade Torrent Salamander,59435,Rhyacotriton cascadae,Cascade Torrent Salamander
Rhyacotriton kezeri,1,Matched on iucnSciName,aCTOSx,Rhyacotriton kezeri,Columbia Torrent Salamander,59436,Rhyacotriton kezeri,Columbia Torrent Salamander
Rhyacotriton olympicus,1,Matched on iucnSciName,aOTSAx,Rhyacotriton olympicus,Olympic Torrent Salamander,59437,Rhyacotriton olympicus,Olympic Torrent Salamander
Rhyacotriton variegatus,1,Matched on iucnSciName,aSTOSx,Rhyacotriton variegatus,Southern Torrent Salamander,59438,Rhyacotriton variegatus,Southern Torrent Salamander
Scaphiopus holbrookii,1,Matched on iucnSciName,aEASPx,Scaphiopus holbrookii,Eastern Spadefoot,59042,Scaphiopus holbrookii,Eastern Spadefoot
Scaphiopus hurterii,1,Matched on iucnSciName,aHUSPx,Scaphiopus hurterii,Hurter's Spadefoot,59043,Scaphiopus hurterii,Hurter's Spadefoot
Stereochilus marginatus,1,Matched on iucnSciName,aMLSAx,Stereochilus marginatus,Many-lined Salamander,59406,Stereochilus marginatus,Many-lined Salamander
Taricha rivularis,1,Matched on iucnSciName,aRBNEx,Taricha rivularis,Red-bellied Newt,59470,Taricha rivularis,Redbelly Newt
Taricha sierra,1,Matched on iucnSciName,aSENEx,Taricha sierrea,Sierra Newt,136023,Taricha sierra,Sierra Newt
Taricha torosa,1,Matched on iucnSciName,aCFNEx,Taricha torosa,California Newt,59471,Taricha torosa,Coast Range Newt
Urspelerpes brucei,1,Failed to match on iucnSciName iucnSynonym or gapSciName,,,,,,
Tympanuchus pallidicinctus,1,Matched on iucnSciName,bLEPCx,Tympanuchus pallidicinctus,Lesser Prairie-chicken,22679519,Tympanuchus pallidicinctus,Lesser Prairie-chicken
Picoides borealis,1,Matched on iucnSynonym (Leuconotopicus borealis),bRCWOx,Picoides borealis,Red-cockaded Woodpecker,22681158,Leuconotopicus borealis,Red-cockaded Woodpecker
Aphelocoma insularis,1,Matched on iucnSciName several times,bWESJx,Aphelocoma californica,Western Scrub-jay,103727785,Aphelocoma californica,Western Scrub-jay
Aphelocoma insularis,1,Matched on iucnSciName several times,bISSJx,Aphelocoma insularis,Island Scrub-jay,103727785,Aphelocoma californica,Western Scrub-jay
Aphelocoma coerulescens,1,Matched on iucnSciName,bFLSJx,Aphelocoma coerulescens,Florida Scrub-jay,22705629,Aphelocoma coerulescens,Florida Scrub-jay
Pica nuttalli,1,Matched on iucnSynonym (Pica nutalli),bYBMAx,Pica nuttalli,Yellow-billed Magpie,22705874,Pica nutalli,Yellow-billed Magpie
Corvus ossifragus,1,Matched on iucnSciName,bFICRx,Corvus ossifragus,Fish Crow,22705993,Corvus ossifragus,Fish Crow
Parus carolinensis,1,Matched on iucnSynonym (Poecile carolinensis),bCACHx,Poecile carolinensis,Carolina Chickadee,22711708,Poecile carolinensis,Carolina Chickadee
Leucosticte atrata,1,Matched on iucnSciName,bBLRFx,Leucosticte atrata,Black Rosy-finch,22720488,Leucosticte atrata,Black Rosy-finch
Ammodramus maritimus,1,Matched on iucnSynonym (Ammospiza maritima),bSESPx,Ammodramus maritimus,Seaside Sparrow,22721123,Ammospiza maritima,Seaside Sparrow
Ammodramus caudacutus,1,Matched on iucnSynonym (Ammospiza caudacuta),bSSTSx,Ammodramus caudacutus,Saltmarsh Sharp-tailed Sparrow,22721129,Ammospiza caudacuta,Saltmarsh Sparrow
Ammodramus henslowii,1,Matched on iucnSynonym (Passerculus henslowii),bHESPx,Ammodramus henslowii,Henslow's Sparrow,22721138,Passerculus henslowii,Henslow's Sparrow
Peucaea aestivalis,1,Matched on iucnSciName,bBACSx,Aimophila aestivalis,Bachman's Sparrow,22721256,Peucaea aestivalis,Bachman's Sparrow
Quiscalus major,1,Matched on iucnSciName,bBTGRx,Quiscalus major,Boat-tailed Grackle,22724311,Quiscalus major,Boat-tailed Grackle
Centrocercus minimus,1,Matched on iucnSciName,bGUSGx,Centrocercus minimus,Gunnison Sage-grouse,22728472,Centrocercus minimus,Gunnison Grouse
Leucosticte australis,1,Matched on iucnSciName,bBCRFx,Leucosticte australis,Brown-capped Rosy-finch,22728985,Leucosticte australis,Brown-capped Rosy-finch
Ammospermophilus nelsoni,1,Matched on iucnSciName,mNASQx,Ammospermophilus nelsoni,Nelson's Antelope Squirrel,1149,Ammospermophilus nelsoni,Nelson's Antelope Squirrel
Arborimus albipes,1,Matched on iucnSciName,mWFVOx,Arborimus albipes,White-footed Vole,2017,Arborimus albipes,White-footed Vole
Arborimus longicaudus,1,Matched on iucnSciName,mRTVOx,Arborimus longicaudus,Red Tree Vole,42615,Arborimus longicaudus,Red Tree Vole
Arborimus pomo,1,Matched on iucnSciName,mSTVOx,Arborimus pomo,Sonoma Tree Vole,2018,Arborimus pomo,Sonoma Tree Vole
Blarina carolinensis,1,Matched on iucnSciName,mSOTSx,Blarina carolinensis,Southern Short-tailed Shrew,41452,Blarina carolinensis,Southern Short-tailed Shrew
Blarina hylophaga,1,Matched on iucnSciName,mESTSx,Blarina hylophaga,Elliot's Short-tailed Shrew,41453,Blarina hylophaga,Elliot's Short-tailed Shrew
Brachylagus idahoensis,1,Matched on iucnSciName,mPYRAx,Brachylagus idahoensis,Pygmy Rabbit,2963,Brachylagus idahoensis,Pygmy Rabbit
Canis rufus,1,Failed to match on iucnSciName iucnSynonym or gapSciName,,,,,,
Corynorhinus rafinesquii,1,Matched on iucnSciName,mRBEBx,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,17600,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat
Cynomys gunnisoni,1,Matched on iucnSciName,mGPDOx,Cynomys gunnisoni,Gunnison's Prairie Dog,42453,Cynomys gunnisoni,Gunnison's Prairie Dog
Cynomys leucurus,1,Matched on iucnSciName,mWTPDx,Cynomys leucurus,White-tailed Prairie Dog,42454,Cynomys leucurus,White-tailed Prairie Dog
Cynomys parvidens,1,Matched on iucnSciName,mUPDOx,Cynomys parvidens,Utah Prairie Dog,6090,Cynomys parvidens,Utah Prairie Dog
Dipodomys agilis,1,Matched on iucnSciName,mAKRAx,Dipodomys agilis,Agile Kangaroo Rat,6684,Dipodomys agilis,Agile Kangaroo Rat
Dipodomys californicus,1,Matched on iucnSciName,mCKRAx,Dipodomys californicus,California Kangaroo Rat,42599,Dipodomys californicus,California Kangaroo Rat
Dipodomys compactus,1,Matched on iucnSciName,mGCKRx,Dipodomys compactus,Gulf Coast Kangaroo Rat,6685,Dipodomys compactus,Gulf Coast Kangaroo Rat
Dipodomys elator,1,Matched on iucnSciName,mTKRAx,Dipodomys elator,Texas Kangaroo Rat,6675,Dipodomys elator,Texas Kangaroo Rat
Dipodomys heermanni,1,Matched on iucnSciName,mHKRAx,Dipodomys heermanni,Heermann's Kangaroo Rat,42600,Dipodomys heermanni,Heermann's Kangaroo Rat
Dipodomys ingens,1,Matched on iucnSciName,mGKRAx,Dipodomys ingens,Giant Kangaroo Rat,6678,Dipodomys ingens,Giant Kangaroo Rat
Dipodomys microps,1,Matched on iucnSciName,mCTKRx,Dipodomys microps,Chisel-toothed Kangaroo Rat,42603,Dipodomys microps,Houserock Chisel-toothed Kangaroo Rat
Dipodomys nitratoides,1,Matched on iucnSciName,mSJKRx,Dipodomys nitratoides,San Joaquin Kangaroo Rat,6683,Dipodomys nitratoides,Fresno Kangaroo Rat
Dipodomys panamintinus,1,Matched on iucnSciName,mPKRAx,Dipodomys panamintinus,Panamint Kangaroo Rat,42604,Dipodomys panamintinus,Panamint Kangaroo Rat
Dipodomys stephensi,1,Matched on iucnSciName,mSKRAx,Dipodomys stephensi,Stephen's Kangaroo Rat,6682,Dipodomys stephensi,Stephens' Kangaroo Rat
Dipodomys venustus,1,Matched on iucnSciName,mNFKRx,Dipodomys venustus,Narrow-faced Kangaroo Rat,42605,Dipodomys venustus,Narrow-faced Kangaroo Rat
Eumops floridanus,1,Matched on iucnSciName several times,mWBBAx,Eumops glaucinus,Wagner's Bonneted Bat,136433,Eumops floridanus,
Eumops floridanus,1,Matched on iucnSciName several times,mFBBAx,Eumops floridanus,Florida Bonneted Bat,136433,Eumops floridanus,Florida Bonneted Bat
Geomys attwateri,1,Matched on iucnSciName,mAPGOx,Geomys attwateri,Attwater's Pocket Gopher,136380,Geomys attwateri,Attwater's Pocket Gopher
Geomys breviceps,1,Matched on iucnSciName,mBPGOx,Geomys breviceps,Baird's Pocket Gopher,136840,Geomys breviceps,Baird's Pocket Gopher
Geomys knoxjonesi,1,Matched on iucnSciName,mKJPGx,Geomys knoxjonesi,Knox Jones's Pocket Gopher,136258,Geomys knoxjonesi,Knox Jones's Pocket Gopher
Geomys pinetis,1,Matched on iucnSciName,mSEGOx,Geomys pinetis,Southeastern Pocket Gopher,42589,Geomys pinetis,Southeastern Pocket Gopher
Geomys texensis,1,Matched on iucnSciName,mCTPGx,Geomys texensis,Central Texas Pocket Gopher,9062,Geomys texensis,Central Texas Pocket Gopher
Lasiurus seminolus,1,Matched on iucnSciName,mSEBAx,Lasiurus seminolus,Seminole Bat,11353,Lasiurus seminolus,Seminole Bat
Marmota olympus,1,Matched on iucnSciName,mOLMAx,Marmota olympus,Olympic Marmot,42459,Marmota olympus,Olympic Marmot
Microdipodops megacephalus,1,Matched on iucnSciName,mDKMOx,Microdipodops megacephalus,Dark Kangaroo Mouse,42606,Microdipodops megacephalus,Owyhee River Kangaroo Mouse
Microdipodops pallidus,1,Matched on iucnSciName,mPKMOx,Microdipodops pallidus,Pale Kangaroo Mouse,42607,Microdipodops pallidus,Soda Spring Valley Kangaroo Mouse
Microtus breweri,1,Failed to match on iucnSciName iucnSynonym or gapSciName,,,,,,
Microtus canicaudus,1,Matched on iucnSciName,mGTVOx,Microtus canicaudus,Gray-tailed Vole,42625,Microtus canicaudus,Gray-tailed Vole
Mustela nigripes,1,Matched on iucnSciName,mBFFEx,Mustela nigripes,Black-footed Ferret,14020,Mustela nigripes,Black-footed Ferret
Myodes californicus,1,Matched on iucnSciName,mWRBVx,Myodes californicus,Western Red-backed Vole,42616,Myodes californicus,Western Red-backed Vole
Myotis austroriparius,1,Matched on iucnSciName,mSEMYx,Myotis austroriparius,Southeastern Myotis,14147,Myotis austroriparius,Southeastern Myotis
Myotis grisescens,1,Matched on iucnSciName,mGRMYx,Myotis grisescens,Gray Myotis,14132,Myotis grisescens,Grey Bat
Neofiber alleni,1,Matched on iucnSciName,mRTMUx,Neofiber alleni,Round-tailed Muskrat,14520,Neofiber alleni,Round-tailed Muskrat
Neotoma devia,1,Matched on iucnSciName,mAZWOx,Neotoma devia,Arizona Woodrat,14586,Neotoma devia,Arizona Woodrat
Neotoma floridana,1,Matched on iucnSciName,mEAWOx,Neotoma floridana,Eastern Woodrat,42650,Neotoma floridana,Eastern Woodrat
Neotoma fuscipes,1,Matched on iucnSciName,mDFWOx,Neotoma fuscipes,Dusky-footed Woodrat,14587,Neotoma fuscipes,Dusky-footed Woodrat
Neotoma magister,1,Matched on iucnSciName,mALWOx,Neotoma magister,Allegheny Woodrat,14581,Neotoma magister,Allegheny Woodrat
Neotoma stephensi,1,Matched on iucnSciName,mSTWOx,Neotoma stephensi,Stephen's Woodrat,42651,Neotoma stephensi,Stephen's Woodrat
Ochrotomys nuttalli,1,Matched on iucnSciName,mGOMOx,Ochrotomys nuttalli,Golden Mouse,42674,Ochrotomys nuttalli,Golden Mouse
Oryzomys palustris,1,Matched on iucnSciName,mMAORx,Oryzomys palustris,Marsh Oryzomys,42675,Oryzomys palustris,Marsh Rice Rat
Perognathus alticolus,1,Matched on iucnSynonym (Perognathus alticola),mWEPMx,Perognathus alticolus,White-eared Pocket Mouse,16631,Perognathus alticola,White-eared Pocket Mouse
Perognathus inornatus,1,Matched on iucnSciName,mSJPMx,Perognathus inornatus,San Joaquin Pocket Mouse,42609,Perognathus inornatus,San Joaquin Pocket Mouse
Peromyscus attwateri,1,Matched on iucnSciName,mTXDEx,Peromyscus attwateri,Texas Deermouse,42652,Peromyscus attwateri,Texas Deermouse
Peromyscus gossypinus,1,Matched on iucnSciName,mCODEx,Peromyscus gossypinus,Cotton Deermouse,42653,Peromyscus gossypinus,Key Largo Cotton Mouse
Peromyscus polionotus,1,Matched on iucnSciName,mOLDEx,Peromyscus polionotus,Oldfield Deermouse,42654,Peromyscus polionotus,Choctawhatchee Beach Mouse
Podomys floridanus,1,Matched on iucnSciName,mFLDEx,Podomys floridanus,Florida Deermouse,17830,Podomys floridanus,Florida Deermouse
Reithrodontomys humulis,1,Matched on iucnSciName,mEHMOx,Reithrodontomys humulis,Eastern Harvest Mouse,42678,Reithrodontomys humulis,Eastern Harvest Mouse
Reithrodontomys raviventris,1,Matched on iucnSciName,mSMHMx,Reithrodontomys raviventris,Salt-marsh Harvest Mouse,19401,Reithrodontomys raviventris,Salt-marsh Harvest Mouse
Sorex bairdi,1,Matched on iucnSciName,mBDSHx,Sorex bairdi,Baird's Shrew,41387,Sorex bairdi,Baird's Shrew
Sorex longirostris,1,Matched on iucnSciName,mSPSHx,Sorex longirostris,Southeastern Shrew,41401,Sorex longirostris,Southeastern Shrew
Sorex lyelli,1,Matched on iucnSciName,mMLSHx,Sorex lyelli,Mt. Lyell Shrew,41402,Sorex lyelli,Mount Lyell Shrew
Sorex merriami,1,Matched on iucnSciName,mMESHx,Sorex merriami,Merriam's Shrew,41403,Sorex merriami,Merriam's Shrew
Sorex nanus,1,Matched on iucnSciName,mDWSHx,Sorex nanus,Dwarf Shrew,41406,Sorex nanus,Dwarf Shrew
Sorex neomexicanus,1,Matched on iucnSciName,mNMSHx,Sorex neomexicanus,New Mexico Shrew,136608,Sorex neomexicanus,New Mexico Shrew
Sorex pacificus,1,Matched on iucnSciName,mPASHx,Sorex pacificus,Pacific Shrew,41409,Sorex pacificus,Pacific Shrew
Sorex preblei,1,Matched on iucnSciName,mPBSHx,Sorex preblei,Preble's Shrew,41413,Sorex preblei,Preble's Shrew
Sorex sonomae,1,Matched on iucnSciName,mFOSHx,Sorex sonomae,Fog Shrew,41418,Sorex sonomae,Fog Shrew
Sorex tenellus,1,Matched on iucnSciName,mINSHx,Sorex tenellus,Inyo Shrew,41419,Sorex tenellus,Inyo Shrew
Spermophilus armatus,1,Matched on iucnSynonym (Urocitellus armatus),mUGSQx,Urocitellus armatus,Uinta Ground Squirrel,42463,Urocitellus armatus,Uinta Ground Squirrel
Spermophilus beldingi,1,Matched on iucnSynonym (Urocitellus beldingi),mBGSQx,Urocitellus beldingi,Belding's Ground Squirrel,42464,Urocitellus beldingi,Belding's Ground Squirrel
Spermophilus brunneus,1,Matched on iucnSynonym (Urocitellus brunneus),mIGSQx,Urocitellus brunneus,Idaho Ground Squirrel,20497,Urocitellus brunneus,Norhern Idaho Ground Squirrel
Spermophilus canus,1,Matched on iucnSynonym (Urocitellus canus),mMGSQx,Urocitellus canus,Merriam's Ground Squirrel,42465,Urocitellus canus,Merriam's Ground Squirrel
Spermophilus elegans,1,Matched on iucnSynonym (Urocitellus elegans),mWYSQx,Urocitellus elegans,Wyoming Ground Squirrel,42467,Urocitellus elegans,Wyoming Ground Squirrel
Spermophilus mohavensis,1,Matched on iucnSynonym (Xerospermophilus mohavensis),mMOSQx,Xerospermophilus mohavensis,Mohave Ground Squirrel,20474,Xerospermophilus mohavensis,Mohave Ground Squirrel
Spermophilus mollis,1,Matched on iucnSynonym (Urocitellus mollis),mPGSQx,Urocitellus mollis,Piute Ground Squirrel,42469,Urocitellus mollis,Piute Ground Squirrel
Spermophilus townsendii,1,Matched on iucnSynonym (Urocitellus townsendii),mTGSQx,Urocitellus townsendii,Townsend's Ground Squirrel,20476,Urocitellus townsendii,Townsend's Ground Squirrel
Spermophilus washingtoni,1,Matched on iucnSynonym (Urocitellus washingtoni),mWASQx,Urocitellus washingtoni,Washington Ground Squirrel,20475,Urocitellus washingtoni,Washington Ground Squirrel
Sylvilagus aquaticus,1,Matched on iucnSciName,mSWRAx,Sylvilagus aquaticus,Swamp Rabbit,41296,Sylvilagus aquaticus,Swamp Rabbit
Sylvilagus cognatus,1,Failed to match on iucnSciName iucnSynonym or gapSciName,,,,,,
Sylvilagus obscurus,1,Matched on iucnSciName,mAPCOx,Sylvilagus obscurus,Appalachian Cottontail,41301,Sylvilagus obscurus,Appalachian Cottontail
Sylvilagus palustris,1,Matched on iucnSciName,mMARAx,Sylvilagus palustris,Marsh Rabbit,41303,Sylvilagus palustris,Marsh Rabbit
Sylvilagus transitionalis,1,Matched on iucnSciName,mNGCOx,Sylvilagus transitionalis,New England Cottontail,21212,Sylvilagus transitionalis,New England Cottontail
Tamias alpinus,1,Matched on iucnSynonym (Neotamias alpinus),mALCHx,Tamias alpinus,Alpine Chipmunk,42568,Neotamias alpinus,Alpine Chipmunk
Tamias canipes,1,Matched on iucnSynonym (Neotamias canipes),mGFCHx,Tamias canipes,Gray-footed Chipmunk,21364,Neotamias canipes,Gray-footed Chipmunk
Tamias cinereicollis,1,Matched on iucnSynonym (Neotamias cinereicollis),mGCCHx,Tamias cinereicollis,Gray-collared Chipmunk,42570,Neotamias cinereicollis,Gray-collared Chipmunk
Tamias merriami,1,Matched on iucnSynonym (Neotamias merriami),mMMCHx,Tamias merriami,Merriam's Chipmunk,21358,Neotamias merriami,Merriam's Chipmunk
Tamias ochrogenys,1,Matched on iucnSynonym (Neotamias ochrogenys),mYCCHx,Tamias ochrogenys,Yellow-cheeked Chipmunk,42573,Neotamias ochrogenys,Yellow-cheeked Chipmunk
Tamias palmeri,1,Matched on iucnSynonym (Neotamias palmeri),mPACHx,Tamias palmeri,Palmer's Chipmunk,21355,Neotamias palmeri,Palmer's Chipmunk
Tamias panamintinus,1,Matched on iucnSynonym (Neotamias panamintinus),mPNCHx,Tamias panamintinus,Panamint Chipmunk,42574,Neotamias panamintinus,Panamint Chipmunk
Tamias quadrimaculatus,1,Matched on iucnSynonym (Neotamias quadrimaculatus),mLOECx,Tamias quadrimaculatus,Long-eared Chipmunk,42575,Neotamias quadrimaculatus,Long-eared Chipmunk
Tamias quadrivittatus,1,Matched on iucnSynonym (Neotamias quadrivittatus),mCOCHx,Tamias quadrivittatus,Colorado Chipmunk,42576,Neotamias quadrivittatus,Colorado Chipmunk
Tamias rufus,1,Matched on iucnSynonym (Neotamias rufus),mHOCHx,Tamias rufus,Hopi Chipmunk,42578,Neotamias rufus,Hopi Chipmunk
Tamias senex,1,Matched on iucnSynonym (Neotamias senex),mSHCHx,Tamias senex,Shadow Chipmunk,42579,Neotamias senex,Shadow Chipmunk
Tamias siskiyou,1,Matched on iucnSynonym (Neotamias siskiyou),mSICHx,Tamias siskiyou,Siskiyou Chipmunk,42580,Neotamias siskiyou,Siskiyou Chipmunk
Tamias sonomae,1,Matched on iucnSynonym (Neotamias sonomae),mSOCHx,Tamias sonomae,Sonoma Chipmunk,42581,Neotamias sonomae,Sonoma Chipmunk
Tamias speciosus,1,Matched on iucnSynonym (Neotamias speciosus),mLOCHx,Tamias speciosus,Lodgepole Chipmunk,42582,Neotamias speciosus,Lodgepole Chipmunk
Tamias umbrinus,1,Matched on iucnSynonym (Neotamias umbrinus),mUICHx,Tamias umbrinus,Uinta Chipmunk,42585,Neotamias umbrinus,Uinta Chipmunk
Thomomys bulbivorus,1,Matched on iucnSciName,mCPGOx,Thomomys bulbivorus,Camas Pocket Gopher,42594,Thomomys bulbivorus,Camas Pocket Gopher
Thomomys clusius,1,Matched on iucnSciName,mWYGOx,Thomomys clusius,Wyoming Pocket Gopher,42595,Thomomys clusius,Wyoming Pocket Gopher
Thomomys idahoensis,1,Matched on iucnSciName,mIPGOx,Thomomys idahoensis,Idaho Pocket Gopher,21809,Thomomys idahoensis,Idaho Pocket Gopher
Thomomys mazama,1,Matched on iucnSciName,mWPGOx,Thomomys mazama,Western Pocket Gopher,21810,Thomomys mazama,Western Pocket Gopher
Thomomys monticola,1,Matched on iucnSciName,mMPGOx,Thomomys monticola,Mountain Pocket Gopher,42596,Thomomys monticola,Mountain Pocket Gopher
Thomomys townsendii,1,Matched on iucnSciName,mTPGOx,Thomomys townsendii,Townsend's Pocket Gopher,42598,Thomomys townsendii,Townsend's Pocket Gopher
Urocyon littoralis,1,Matched on iucnSciName,mISFOx,Urocyon littoralis,Island Fox,22781,Urocyon littoralis,Island Fox
Vulpes velox,1,Matched on iucnSciName,mSWFOx,Vulpes velox,Swift Fox,23059,Vulpes velox,Swift Fox
Agkistrodon piscivorus,1,Matched on iucnSciName,rCOTTx,Agkistrodon piscivorus,Cottonmouth,64298,Agkistrodon piscivorus,Cottonmouth
Apalone ferox,1,Matched on iucnSciName,rFLSOx,Apalone ferox,Florida Softshell,165597,Apalone ferox,Florida Softshell Turtle
Apalone mutica,1,Matched on iucnSciName,rSMSOx,Apalone mutica,Smooth Softshell,165596,Apalone mutica,Smooth Softshell Turtle
Aspidoscelis dixoni,1,Matched on iucnSciName,rGCWHx,Aspidoscelis dixoni,Gray Checkered Whiptail,64262,Aspidoscelis dixoni,Gray-checkered Whiptail
Aspidoscelis flagellicauda,1,Matched on iucnSciName,rGLSWx,Aspidoscelis flagellicauda,Gila Spotted Whiptail,64265,Aspidoscelis flagellicauda,Gila Spotted Whiptail
Aspidoscelis gypsi,1,Matched on iucnSciName,rLWWHx,Aspidoscelis gypsi,Little White Whiptail,64269,Aspidoscelis gypsi,Little White Whiptail
Aspidoscelis neotesselata,1,Matched on iucnSciName,rCCHWx,Aspidoscelis neotesselata,Colorado Checkered Whiptail,64279,Aspidoscelis neotesselata,Triploid Checkered Whiptail
Aspidoscelis pai,1,Matched on iucnSciName,rPASWx,Aspidoscelis pai,Pai Striped Whiptail,64281,Aspidoscelis pai,Pai Striped Whiptail
Aspidoscelis velox,1,Matched on iucnSciName,rPLSWx,Aspidoscelis velox,Plateau Striped Whiptail,64292,Aspidoscelis velox,Plateau Striped Whiptail
Carphophis amoenus,1,Matched on iucnSciName,rEWSNx,Carphophis amoenus,Eastern Wormsnake,63738,Carphophis amoenus,Eastern Worm Snake
Cemophora coccinea,1,Matched on iucnSciName,rSCARx,Cemophora coccinea,Scarletsnake,63740,Cemophora coccinea,Scarlet Snake
Chrysemys dorsalis,1,Matched on iucnSciName several times,rSOPTx,Chrysemys dorsalis,Southern Painted Turtle,163467,Chrysemys picta,Painted Turtle
Chrysemys dorsalis,1,Matched on iucnSciName several times,rPATUx,Chrysemys picta,Painted Turtle,163467,Chrysemys picta,Painted Turtle
Clonophis kirtlandii,1,Matched on iucnSciName,rKISNx,Clonophis kirtlandii,Kirtland's Snake,63747,Clonophis kirtlandii,Kirtland's Snake
Crotalus adamanteus,1,Matched on iucnSciName,rEDBRx,Crotalus adamanteus,Eastern Diamond-backed Rattlesnake,64308,Crotalus adamanteus,Eastern Diamond-backed Rattlesnake
Deirochelys reticularia,1,Failed to match on iucnSciName iucnSynonym or gapSciName,,,,,,
Drymarchon couperi,1,Matched on iucnSciName,rEISNx,Drymarchon couperi,Eastern Indigo Snake,63773,Drymarchon couperi,Eastern Indigo Snake
Elgaria panamintina,1,Matched on iucnSciName,rPALIx,Elgaria panamintina,Panamint Alligator Lizard,40792,Elgaria panamintina,Panamint Alligator Lizard
Farancia abacura,1,Matched on iucnSciName,rRBMUx,Farancia abacura,Red-bellied Mudsnake,63779,Farancia abacura,Red-bellied Mudsnake
Farancia erytrogramma,1,Matched on iucnSciName,rRASNx,Farancia erytrogramma,Rainbow Snake,63780,Farancia erytrogramma,Rainbow Snake
Gambelia sila,1,Matched on iucnSciName,rBNLLx,Gambelia sila,Blunt-nosed Leopard Lizard,40690,Gambelia sila,Blunt-nosed Leopard Lizard
Glyptemys muhlenbergii,1,Matched on iucnSciName,rBOTUx,Glyptemys muhlenbergii,Bog Turtle,4967,Glyptemys muhlenbergii,Bog Turtle
Gopherus polyphemus,1,Matched on iucnSciName,rGOTOx,Gopherus polyphemus,Gopher Tortoise,9403,Gopherus polyphemus,Gopher Tortoise
Graptemys barbouri,1,Matched on iucnSciName,rBMTUx,Graptemys barbouri,Barbour's Map Turtle,9496,Graptemys barbouri,Barbour's Map Turtle
Graptemys caglei,1,Matched on iucnSciName,rCMTUx,Graptemys caglei,Cagle's Map Turtle,9497,Graptemys caglei,Cagle's Map Turtle
Graptemys ernsti,1,Matched on iucnSciName,rEMTUx,Graptemys ernsti,Escambia Map Turtle,9500,Graptemys ernsti,Escambia Map Turtle
Graptemys flavimaculata,1,Matched on iucnSciName,rYBMTx,Graptemys flavimaculata,Yellow-blotched Map Turtle,9498,Graptemys flavimaculata,Yellow Blotched Sawback
Graptemys gibbonsi,1,Matched on iucnSciName,rPMTUx,Graptemys gibbonsi,Pascagoula Map Turtle,184436,Graptemys gibbonsi,Pascagoula Map Turtle
Graptemys nigrinoda,1,Matched on iucnSciName,rBKMTx,Graptemys nigrinoda,Black-knobbed Map Turtle,9502,Graptemys nigrinoda,Black-knobbed Sawback
Graptemys oculifera,1,Matched on iucnSciName,rRMTUx,Graptemys oculifera,Ringed Map Turtle,9499,Graptemys oculifera,Ringed Sawback
Graptemys ouachitensis,1,Matched on iucnSciName,rOMTUx,Graptemys ouachitensis,Ouachita Map Turtle,165599,Graptemys ouachitensis,Ouachita Map Turtle
Graptemys pseudogeographica,1,Matched on iucnSciName,rFMTUx,Graptemys pseudogeographica,False Map Turtle,165600,Graptemys pseudogeographica,Mississippi Map Turtle
Graptemys pulchra,1,Matched on iucnSciName,rALTUx,Graptemys pulchra,Alabama Map Turtle,170494,Graptemys pulchra,Alabama Map Turtle
Graptemys versa,1,Matched on iucnSciName,rTMTUx,Graptemys versa,Texas Map Turtle,9503,Graptemys versa,Texas Map Turtle
Heterodon simus,1,Matched on iucnSciName,rSHNSx,Heterodon simus,Southern Hog-nosed Snake,63821,Heterodon simus,Southern Hog-nosed Snake
