Species ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Authority	Infraspecific rank	Infraspecific name	Infraspecific authority	Stock/subpopulation	Synonyms	Common names (Eng)	Common names (Fre)	Common names (Spa)	Red List status	Red List criteria	Red List criteria version	Year assessed	Population trend	Petitioned
22690439	ANIMALIA	CHORDATA	AVES	COLUMBIFORMES	COLUMBIDAE	Streptopelia	orientalis	"(Latham, 1790)"						"Oriental Turtle-dove, Oriental Turtle-Dove, Oriental Turtle Dove, Rufous Turtle Dove"			LC		3.1	2016	stable	N
22690515	ANIMALIA	CHORDATA	AVES	COLUMBIFORMES	COLUMBIDAE	Streptopelia	roseogrisea	"(Sundevall, 1857)"					Streptopelia risoria risoria	"African Collared-dove, Barbary Dove, African Collared-Dove, African Collared Dove, Ringed Turtle-Dove, Rose-grey Dove"	Tourterelle rieuse		LC		3.1	2016	stable	N
22686476	ANIMALIA	CHORDATA	AVES	CAPRIMULGIFORMES	APODIDAE	Streptoprocne	zonaris	"(Shaw, 1796)"						White-collared Swift			LC		3.1	2016	stable	N
22689118	ANIMALIA	CHORDATA	AVES	STRIGIFORMES	STRIGIDAE	Strix	nebulosa	"Forster, 1772"						"Great Grey Owl, Great Gray Owl"			LC		3.1	2016	increasing	N
22689089	ANIMALIA	CHORDATA	AVES	STRIGIFORMES	STRIGIDAE	Strix	occidentalis	"(Xantus De Vesey, 1860)"						Spotted Owl		"Búho Manchado, Cárabo Californiano"	NT		3.1	2016	decreasing	N
22689094	ANIMALIA	CHORDATA	AVES	STRIGIFORMES	STRIGIDAE	Strix	varia	"Barton, 1799"						Barred Owl			LC		3.1	2016	increasing	N
22735434	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	ICTERIDAE	Sturnella	magna	"(Linnaeus, 1758)"						Eastern Meadowlark			LC		3.1	2016	increasing	N
22724256	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	ICTERIDAE	Sturnella	neglecta	"Audubon, 1844"						Western Meadowlark			LC		3.1	2016	decreasing	N
22710886	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	STURNIDAE	Sturnus	vulgaris	"Linnaeus, 1758"						"Common Starling, Starling, European Starling"	Etourneau sansonnet		LC		3.1	2016	decreasing	N
22736173	ANIMALIA	CHORDATA	AVES	SULIFORMES	SULIDAE	Sula	dactylatra	"Lesson, 1831"						Masked Booby			LC		3.1	2016	decreasing	N
22696698	ANIMALIA	CHORDATA	AVES	SULIFORMES	SULIDAE	Sula	leucogaster	"(Boddaert, 1783)"						Brown Booby	Fou brun		LC		3.1	2016	decreasing	N
22696683	ANIMALIA	CHORDATA	AVES	SULIFORMES	SULIDAE	Sula	nebouxii	"Milne-Edwards, 1882"						Blue-footed Booby			LC		3.1	2016	stable	N
22696694	ANIMALIA	CHORDATA	AVES	SULIFORMES	SULIDAE	Sula	sula	"(Linnaeus, 1766)"						Red-footed Booby	Fou à pieds rouges		LC		3.1	2016	decreasing	N
22689189	ANIMALIA	CHORDATA	AVES	STRIGIFORMES	STRIGIDAE	Surnia	ulula	"(Linnaeus, 1758)"						"Northern Hawk-owl, Hawk Owl, Northern Hawk-Owl"			LC		3.1	2016	stable	N
41775	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Sus	scrofa	"Linnaeus, 1758"					Sus andamanensis  |Sus aruensis  |Sus babi  |Sus ceramensis  |Sus enganus  |Sus floresianus  |Sus goramensis  |Sus natunensis  |Sus nicobaricus  |Sus niger  |Sus papuensis  |Sus ternatensis  |Sus tuancus  	"Wild Boar, Eurasian Wild Pig, Ryukyu Islands Wild Pig"	"Sanglier, Sanglier d'Eurasie"	Jabalí	LC		3.1	2008	unknown	N
22734992	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	SYLVIIDAE	Sylvia	curruca	"(Linnaeus, 1758)"					Sylvia althaea|Sylvia minula	Lesser Whitethroat			LC		3.1	2016	stable	N
41296	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	aquaticus	"(Bachman, 1837)"						Swamp Rabbit			LC		3.1	2008	decreasing	N
41297	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	audubonii	"(Baird, 1858)"						"Desert Cottontail, Audubon's Cottontail"		Conejo Del Desierto	LC		3.1	2008	stable	N
41302	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	bachmani	"(Waterhouse, 1839)"						"Brush Rabbit, Riparian Brush Rabbit"		Conejo Matorralero	LC		3.1	2008	stable	N
41309	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	cognatus	"Nelson, 1907"						Manzano Mountain Cottontail			EN	B1ab(iii)	3.1	2016	unknown	N
41299	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	floridanus	"(J.A. Allen, 1890)"						Eastern Cottontail		Conejo Castellano	LC		3.1	2008	increasing	N
41300	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	nuttallii	"(Bachman, 1837)"						"Mountain Cottontail, Nuttall's Cottontail"			LC		3.1	2008	unknown	N
41301	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	obscurus	"Chapman, Cramer, Dippenaar & Robinson, 1992"						"Appalachian Cottontail, Allegheny Cottontail, Wood Rabbit"			NT		3.1	2008	decreasing	N
41303	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	palustris	"(Bachman, 1837)"						"Marsh Rabbit, Lower Keys Rabbit, Lower Keys Marsh Rabbit, Key Rabbit"			LC		3.1	2008	unknown	N
41310	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	robustus	"(Bailey, 1905)"						Robust Cottontail			EN	B1ac(iv); C2b	3.1	2008	unknown	N
21212	ANIMALIA	CHORDATA	MAMMALIA	LAGOMORPHA	LEPORIDAE	Sylvilagus	transitionalis	"(Bangs, 1895)"						"New England Cottontail, Wood Rabbit"			VU	A2ace	3.1	2008	decreasing	N
42638	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CRICETIDAE	Synaptomys	borealis	"(Richardson, 1828)"						"Northern Bog Lemming, Okanagan Bog Lemming"			LC		3.1	2008	unknown	N
42639	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CRICETIDAE	Synaptomys	cooperi	"Baird, 1858"						"Kansas Bog Lemming, Southern Bog Lemming"			LC		3.1	2016	unknown	N
