gapSppCode,gapComName,gapSciName,iucnTaxonID,iucnComName,iucnSciName,originUS,RedListStatus,PopulationTrend,iucnTrend,hucCount,meanPercUse,habBreadth,L2endemic,spp10p,Endemic,Group,Subgroup,potRare,Spp,totalSppPix,SppProt,SppPercProt
bEVGRx,Evening Grosbeak,Coccothraustes vespertinus,22720702.0,Evening Grosbeak,Hesperiphona vespertina,Native,LC,decreasing,1,57625,22.294384455660186,0,0,0,0,D,DD,1,bEVGRx,1251646019,150188671,12
bEWCSx,White-crowned Sparrow,Zonotrichia leucophrys,22721088.0,White-crowned Sparrow,Zonotrichia leucophrys,Native,LC,stable,0,63259,69.3999007483372,0,0,0,0,A,A,0,bEWCSx,4617124942,333895107,7
bFEHAx,Ferruginous Hawk,Buteo regalis,22695970.0,Ferruginous Hawk,Buteo regalis,Native,LC,increasing,0,36754,60.537518350102175,0,0,0,0,A,A,0,bFEHAx,2521937538,154738956,6
bFEPOx,Ferruginous Pygmy-owl,Glaucidium brasilianum,61815999.0,Ferruginous Pygmy-owl,Glaucidium brasilianum,Native,LC,decreasing,1,587,43.30744809448201,0,1,0,1,G,DD,1,bFEPOx,32012006,3407337,11
bFICRx,Fish Crow,Corvus ossifragus,22705993.0,Fish Crow,Corvus ossifragus,Native,LC,increasing,0,13364,51.54611626765247,0,0,0,0,A,A,0,bFICRx,777850004,36548254,5
bFISPx,Field Sparrow,Spizella pusilla,22721179.0,Field Sparrow,Spizella pusilla,Native,LC,decreasing,1,49622,48.417789132831146,0,0,0,0,D,DD,1,bFISPx,2560153577,28019419,1
bFLOWx,Flammulated Owl,Otus flammeolus,22688637.0,Flammulated Owl,Psiloscops flammeolus,Native,LC,decreasing,1,15496,36.71769683589146,0,0,0,0,D,DD,1,bFLOWx,544469899,72142496,13
bFLSJx,Florida Scrub-jay,Aphelocoma coerulescens,22705629.0,Florida Scrub-jay,Aphelocoma coerulescens,Native,VU,decreasing,1,591,10.816723030228202,0,1,1,1,G,DD,1,bFLSJx,7980080,771203,10
bFOSPx,Fox Sparrow,Passerella iliaca,103779110.0,Red Fox-sparrow,Passerella iliaca,Native,LC,stable,0,48516,25.109658748444872,0,0,0,0,A,A,0,bFOSPx,1225299221,126341437,10
bFOTEx,Forster's Tern,Sterna forsteri,22694646.0,Forster's Tern,Sterna forsteri,Native,LC,increasing,0,14051,7.6238355377283575,1,0,0,0,C,TR,1,bFOTEx,220797323,21618775,10
bFRGUx,Franklin's Gull,Leucophaeus pipixcan,22694462.0,Franklin's Gull,Larus pipixcan,Native,LC,increasing,0,3827,23.483444774375076,0,0,0,0,A,A,0,bFRGUx,103335517,2020587,2
bFSSPx,Five-striped Sparrow,Aimophila quinquestriata,22721200.0,Five-striped Sparrow,Amphispiza quinquestriata,Native,LC,stable,0,202,44.50426919697749,0,1,1,1,B,TR,1,bFSSPx,8621231,983334,11
bFTSPx,Fork-tailed Storm-petrel,Oceanodroma furcata,22698572.0,Fork-tailed Storm-petrel,Hydrobates furcatus,Native,LC,increasing,0,416,39.898616663419816,0,0,0,0,A,A,0,bFTSPx,54268548,4537715,8
bFUWDx,Fulvous Whistling-duck,Dendrocygna bicolor,22679746.0,Fulvous Whistling-duck,Dendrocygna bicolor,Native,LC,decreasing,1,1257,18.110013811257343,0,0,0,0,D,DD,1,bFUWDx,45394835,9290355,20
bGADWx,Gadwall,Anas strepera,22680149.0,Gadwall,Mareca strepera,Native,LC,increasing,0,66537,10.887978655011754,0,0,0,0,A,A,0,bGADWx,1019640376,56313103,6
bGAQUx,Gambel's Quail,Callipepla gambelii,22679609.0,Gambel's Quail,Callipepla gambelii,Native,LC,stable,0,5200,60.13522503256571,0,0,0,0,A,A,0,bGAQUx,352702617,62871856,18
bGBANx,Groove-billed Ani,Crotophaga sulcirostris,22684438.0,Groove-billed Ani,Crotophaga sulcirostris,Native,LC,decreasing,1,1121,63.36959206571717,0,0,0,0,D,DD,1,bGBANx,88195600,543813,1
bGBBGx,Great Black-backed Gull,Larus marinus,22694324.0,Great Black-backed Gull,Larus marinus,Native,LC,unknown,0,4254,13.923407466639853,0,0,0,0,A,A,0,bGBBGx,122883434,3503781,3
bGBHEx,Great Blue Heron,Ardea herodias,22696998.0,Great Blue Heron,Ardea herodias,Native,LC,increasing,0,75451,26.004895394244066,0,0,0,0,A,A,0,bGBHEx,2080547241,114616685,6
bGBTEx,Gull-billed Tern,Gelochelidon nilotica,62026481.0,Common Gull-billed Tern,Gelochelidon nilotica,Native,LC,decreasing,1,1284,12.32707231453248,0,0,0,0,D,DD,1,bGBTEx,29390682,4196940,14
bGCFLx,Great Crested Flycatcher,Myiarchus crinitus,22700433.0,Great Crested Flycatcher,Myiarchus crinitus,Native,LC,stable,0,38725,26.72174105454336,0,0,0,0,A,A,0,bGCFLx,1053674887,34516682,3
bGCKIx,Golden-crowned Kinglet,Regulus satrapa,22712594.0,Golden-crowned Kinglet,Regulus satrapa,Native,LC,increasing,0,78308,36.58217501738689,0,0,0,0,A,A,0,bGCKIx,2866255158,280310224,10
bGCRFx,Gray-crowned Rosy-finch,Leucosticte tephrocotis,22720482.0,Grey-crowned Rosy-Finch,Leucosticte tephrocotis,Native,LC,stable,0,15731,18.404167851318523,0,0,0,0,A,A,0,bGCRFx,291461018,76537023,26
bGCSPx,Golden-crowned Sparrow,Zonotrichia atricapilla,22721091.0,Golden-crowned Sparrow,Zonotrichia atricapilla,Native,LC,increasing,0,6232,3.1440805337936024,1,0,0,0,C,TR,1,bGCSPx,18831226,1979012,11
bGCWAx,Golden-cheeked Warbler,Dendroica chrysoparia,22721692.0,Golden-cheeked Warbler,Setophaga chrysoparia,Native,EN,decreasing,1,763,22.428090454919616,0,1,0,1,G,DD,1,bGCWAx,19744301,419103,2
bGFWOx,Golden-fronted Woodpecker,Melanerpes aurifrons,22680862.0,Golden-fronted Woodpecker,Melanerpes aurifrons,Native,LC,stable,0,3244,43.11807578898608,0,0,0,0,A,A,0,bGFWOx,168780861,5022389,3
