strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd
bCOGOx,Bucephala clangula,Common Goldeneye,22680455,Bucephala clangula,Common Goldeneye,LC,stable
bCOGRx,Quiscalus quiscula,Common Grackle,22724320,Quiscalus quiscula,Common Grackle,NT,decreasing
bCOHAx,Accipiter cooperii,Cooper's Hawk,22695656,Accipiter cooperii,Cooper's Hawk,LC,increasing
bCOHUx,Calypte costae,Costa's Hummingbird,22688202,Calypte costae,Costa's Hummingbird,LC,stable
bCOKIx,Tyrannus couchii,Couch's Kingbird,22700488,Tyrannus couchii,Couch's Kingbird,LC,increasing
bCOLOx,Gavia immer,Common Loon,22697842,Gavia immer,Common Loon,LC,stable
bCOLWx,Vermivora crissalis,Colima Warbler,22721633,Leiothlypis crissalis,Colima Warbler,LC,decreasing
bCOMEx,Mergus merganser,Common Merganser,22680492,Mergus merganser,Goosander,LC,unknown
bCOMUx,Uria aalge,Common Murre,22694841,Uria aalge,Common Murre,LC,increasing
bCOMYx,Acridotheres tristis,Common Myna,22710921,Acridotheres tristis,Common Myna,LC,increasing
bCONIx,Chordeiles minor,Common Nighthawk,22689714,Chordeiles minor,Common Nighthawk,LC,decreasing
bCONWx,Oporornis agilis,Connecticut Warbler,22721818,Oporornis agilis,Connecticut Warbler,LC,decreasing
bCOPAx,Nyctidromus albicollis,Common Pauraque,22689731,Nyctidromus albicollis,Pauraque,LC,decreasing
bCOPOx,Phalaenoptilus nuttallii,Common Poorwill,22689735,Phalaenoptilus nuttallii,Common Poorwill,LC,increasing
bCORAx,Corvus corax,Common Raven,22706068,Corvus corax,Common Raven,LC,increasing
bCOREx,Carduelis flammea,Common Redpoll,22725044,Acanthis flammea,Redpoll,LC,decreasing
bCOTEx,Sterna hirundo,Common Tern,22694623,Sterna hirundo,Common Tern,LC,unknown
bCOYEx,Geothlypis trichas,Common Yellowthroat,22721836,Geothlypis trichas,Common Yellowthroat,LC,stable
bCRCAx,Caracara cheriway,Crested Caracara,22696255,Caracara cheriway,Crested Caracara,LC,increasing
bCRTHx,Toxostoma crissale,Crissal Thrasher,22711127,Toxostoma crissale,Crissal Thrasher,LC,stable
bCSWAx,Dendroica pensylvanica,Chestnut-sided Warbler,22721664,Setophaga pensylvanica,Chestnut-sided Warbler,LC,decreasing
bCWWIx,Caprimulgus carolinensis,Chuck-will's-widow,22689778,Antrostomus carolinensis,Chuck-will's-widow,NT,decreasing
bDCCOx,Phalacrocorax auritus,Double-crested Cormorant,22696776,Nannopterum auritus,Double-crested Cormorant,LC,increasing
bDCFLx,Myiarchus tuberculifer,Dusky-capped Flycatcher,22700399,Myiarchus tuberculifer,Dusky-capped Flycatcher,LC,decreasing
bDEJUx,Junco hyemalis,Dark-eyed Junco,22721097,Junco hyemalis,Dark-eyed Junco,LC,stable
bDICKx,Spiza americana,Dickcissel,22723796,Spiza americana,Dickcissel,LC,stable
bDOVEx,Alle alle,Dovekie,22694837,Alle alle,Little Auk,LC,decreasing
bDOWOx,Picoides pubescens,Downy Woodpecker,22681155,Dryobates pubescens,Downy Woodpecker,LC,stable
bDUFLx,Empidonax oberholseri,Dusky Flycatcher,22699864,Empidonax oberholseri,American Dusky Flycatcher,LC,decreasing
bDUGRx,Dendragapus obscurus,Dusky Grouse,22734690,Dendragapus obscurus,Dusky Grouse,LC,decreasing
bDUNLx,Calidris alpina,Dunlin,22693427,Calidris alpina,Dunlin,LC,decreasing
bEABLx,Sialia sialis,Eastern Bluebird,22708550,Sialia sialis,Eastern Bluebird,LC,increasing
bEAGRx,Podiceps nigricollis,Eared Grebe,22696610,Podiceps nigricollis,Black-necked Grebe,LC,unknown
bEAKIx,Tyrannus tyrannus,Eastern Kingbird,22700506,Tyrannus tyrannus,Eastern Kingbird,LC,decreasing
bEAMEx,Sturnella magna,Eastern Meadowlark,22735434,Sturnella magna,Eastern Meadowlark,NT,increasing
bEAPHx,Sayornis phoebe,Eastern Phoebe,22699886,Sayornis phoebe,Eastern Phoebe,LC,increasing
bEASOx,Megascops asio,Eastern Screech-owl,22688758,Megascops asio,Eastern Screech-owl,LC,increasing
bEATOx,Pipilo erythrophthalmus,Eastern Towhee,22721310,Pipilo erythrophthalmus,Eastern Towhee,LC,stable
bEAWPx,Contopus virens,Eastern Wood-pewee,22699816,Contopus virens,Eastern Wood-pewee,LC,decreasing
bELOWx,Micrathene whitneyi,Elf Owl,22689325,Micrathene whitneyi,Elf Owl,LC,decreasing
bELTEx,Thalasseus elegans,Elegant Tern,22694552,Thalasseus elegans,Elegant Tern,NT,stable
bETSPx,Passer montanus,Eurasian Tree Sparrow,22718270,Passer montanus,Eurasian Tree Sparrow,LC,decreasing
bEUCDx,Streptopelia decaocto,Eurasian Collared-dove,22727811,Streptopelia decaocto,Eurasian Collared-dove,LC,increasing
bEUSTx,Sturnus vulgaris,European Starling,22710886,Sturnus vulgaris,Common Starling,LC,decreasing
bEUWIx,Anas penelope,Eurasian Wigeon,22680157,Mareca penelope,Eurasian Wigeon,LC,decreasing
bEVGRx,Coccothraustes vespertinus,Evening Grosbeak,22720702,Hesperiphona vespertina,Evening Grosbeak,VU,decreasing
bEWCSx,Zonotrichia leucophrys,White-crowned Sparrow,22721088,Zonotrichia leucophrys,White-crowned Sparrow,LC,stable
bFEHAx,Buteo regalis,Ferruginous Hawk,22695970,Buteo regalis,Ferruginous Hawk,LC,increasing
bFEPOx,Glaucidium brasilianum,Ferruginous Pygmy-owl,61815999,Glaucidium brasilianum,Ferruginous Pygmy-owl,LC,decreasing
bFICRx,Corvus ossifragus,Fish Crow,22705993,Corvus ossifragus,Fish Crow,LC,increasing
bFISPx,Spizella pusilla,Field Sparrow,22721179,Spizella pusilla,Field Sparrow,LC,decreasing
bFLOWx,Otus flammeolus,Flammulated Owl,22688637,Psiloscops flammeolus,Flammulated Owl,LC,decreasing
