Taxa,Spp,totalSppPix,Rank
B,bWEBLx,485175378,378.0
B,bWEGRx,73752473,187.0
B,bWEGUx,56920496,174.0
B,bWEKIx,2045214008,537.0
B,bWEMEx,3543192307,584.0
B,bWESAx,11883389,68.0
B,bWESJx,536092483,393.0
B,bWESOx,336798117,334.0
B,bWETAx,830266902,438.0
B,bWEVIx,1030852025,463.0
B,bWEWAx,535055502,392.0
B,bWEWPx,1003773395,459.0
B,bWFIBx,237929188,304.0
B,bWHCRx,29360616,124.0
B,bWHIBx,88192774,205.0
B,bWHIMx,31161396,127.0
B,bWHSOx,5775070,42.0
B,bWHSWx,97295319,215.0
B,bWHWOx,96547672,214.0
B,bWIFLx,87359347,204.0
B,bWILLx,821614162,435.0
B,bWIPHx,293397817,324.0
B,bWIPLx,26159980,117.0
B,bWISAx,492620070,382.0
B,bWISNx,1077103758,470.0
B,bWITUx,3964115294,589.0
B,bWIWAx,489089744,379.0
B,bWIWRx,1916505221,529.0
B,bWODUx,453043686,374.0
B,bWOSTx,91747788,208.0
B,bWOTHx,1224349053,482.0
B,bWPWIx,1421157428,504.0
B,bWRENx,143643100,246.0
B,bWTDOx,3826012,37.0
B,bWTHAx,76365214,192.0
B,bWTKIx,214928399,293.0
B,bWTPTx,19538481,101.0
B,bWTSPx,2711071102,564.0
B,bWTSWx,1780498933,522.0
B,bWWCRx,745406962,424.0
B,bWWDOx,728035349,419.0
B,bWWSCx,64616013,180.0
B,bXAMUx,20520868,106.0
B,bYBCHx,1474066106,509.0
B,bYBCUx,794575708,430.0
B,bYBFLx,102912457,220.0
B,bYBMAx,44869479,152.0
B,bYBSAx,1397139238,500.0
B,bYCNHx,462556488,376.0
B,bYEJUx,23692085,110.0
B,bYERAx,198503125,285.0
B,bYFGUx,1103029,24.0
B,bYGVIx,491060,18.0
B,bYHBLx,242414754,306.0
B,bYRWAx,4346885037,598.0
B,bYTVIx,397792846,354.0
B,bYTWAx,283637379,314.0
B,bYWARx,1172058973,477.0
B,bZTHAx,139422614,245.0
M,mABBEx,1547372034,322.0
M,mABEBx,143368730,180.0
M,mABSQx,97954973,154.0
M,mACRAx,21076434,71.0
M,mACSHx,63406987,127.0
M,mAGSQx,33550395,95.0
M,mAHNSx,619230397,264.0
M,mAKRAx,29824045,89.0
M,mALCHx,5568188,37.0
M,mALWOx,169148486,192.0
M,mAMBAx,3310132313,352.0
M,mAMBEx,496599456,247.0
M,mAMMAx,361678245,224.0
M,mAMMIx,200272488,204.0
M,mANJAx,62584668,126.0
M,mAPCOx,75482612,142.0
M,mAPGOx,27352113,83.0
M,mAPMOx,78870512,145.0
M,mAPSHx,509731219,250.0
M,mARMYx,65272944,130.0
M,mARSHx,7066,1.0
M,mAWSHx,123984367,168.0
M,mAZWOx,117461560,163.0
M,mBASHx,14624951,59.0
M,mBBBAx,8913434930,365.0
M,mBCPMx,5587617,38.0
M,mBDSHx,27959546,85.0
M,mBEDEx,1144373,19.0
M,mBEWOx,44492018,109.0
M,mBFFEx,18113943,65.0
M,mBFMOx,41518181,103.0
M,mBFTBx,988838259,292.0
M,mBGSQx,268123945,213.0
M,mBISHx,1369211191,309.0
M,mBISOx,11533569,53.0
M,mBOBCx,4975068915,360.0
M,mBOGOx,1376247381,310.0
M,mBPGOx,126991225,171.0
M,mBPMOx,115168571,161.0
M,mBRBEx,109299014,159.0
M,mBRDEx,624833217,265.0
M,mBRRAx,157518497,190.0
M,mBRRTx,198817603,203.0
M,mBTJAx,2609639539,346.0
M,mBTKRx,186765532,198.0
M,mBTWOx,1545822410,321.0
M,mCADEx,44335927,107.0
M,mCALYx,420568310,232.0
M,mCAMYx,2289916729,337.0
M,mCARIx,2041552,25.0
M,mCASEx,55818892,120.0
M,mCASQx,392271220,227.0
M,mCAVOx,70415019,134.0
M,mCCDEx,556770907,256.0
M,mCFCHx,5867488,40.0
M,mCGGSx,26855332,80.0
M,mCGMOx,172567517,194.0
M,mCGSHx,4266579,32.0
M,mCHITx,65360189,131.0
M,mCHPMx,116972752,162.0
M,mCISHx,2891692884,348.0
M,mCKRAx,49890245,117.0
M,mCLCHx,360040676,223.0
M,mCLEBx,173359976,195.0
M,mCLOBx,55873238,121.0
