gapSppCode,gapSciName,gapComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,iucnOgn
aSOFRx,Pseudacris nigrita,Southern Chorus Frog,55894,Pseudacris nigrita,Southern Chorus Frog,LC,stable,Native
aSOTOx,Anaxyrus terrestris,Southern Toad,54777,Anaxyrus terrestris,Southern Toad,LC,stable,Native
aSPCFx,Eleutherodactylus guttilatus,Spotted Chirping Frog,56643,Eleutherodactylus guttilatus,Spotted Chirping Frog,LC,unknown,Native
aSPFRx,Pseudacris clarkii,Spotted Chorus Frog,55891,Pseudacris clarkii,Clarke's Striped Tree Frog,LC,stable,Native
aSPOSx,Ambystoma maculatum,Spotted Salamander,59064,Ambystoma maculatum,Spotted Salamander,LC,stable,Native
aSPPEx,Pseudacris crucifer,Spring Peeper,55892,Pseudacris crucifer,Spring Peeper,LC,stable,Native
aSPRSx,Gyrinophilus porphyriticus,Spring Salamander,59282,Gyrinophilus porphyriticus,Spring Salamander,LC,stable,Native
aSQSAx,Plethodon sequoyah,Sequoyah Slimy Salamander,59353,Plethodon sequoyah,Sequoyah Slimy Salamander,DD,unknown,Native
aSQTRx,Hyla squirella,Squirrel Treefrog,55662,Dryophytes squirellus,Squirrel Treefrog,LC,stable,Native
aSRBSx,Plethodon serratus,Southern Red-backed Salamander,59354,Plethodon serratus,Southern Redback Salamander,LC,stable,Native
aSRSAx,Plethodon richmondi,Southern Ravine Salamander,59352,Plethodon richmondi,Ravine Salamander,LC,stable,Native
aSSLSx,Batrachoseps kawia,Sequoia Slender Salamander,59126,Batrachoseps kawia,Sequoia Slender Salamander,DD,unknown,Native
aSSSSx,Batrachoseps incognitus,San Simeon Slender Salamander,59125,Batrachoseps incognitus,San Simeon Slender Salamander,DD,unknown,Native
aSTFRx,Pseudacris streckeri,Strecker's Chorus Frog,55898,Pseudacris streckeri,Strecker's Chorus Frog,LC,unknown,Native
aSTLSx,Eurycea cirrigera,Southern Two-lined Salamander,59264,Eurycea cirrigera,Southern Two-lined Salamander,LC,stable,Native
aSTNEx,Notophthalmus perstriatus,Striped Newt,14872,Notophthalmus perstriatus,Striped Newt,NT,decreasing,Native
aSTOSx,Rhyacotriton variegatus,Southern Torrent Salamander,59438,Rhyacotriton variegatus,Southern Torrent Salamander,LC,stable,Native
aSTRSx,Ambystoma barbouri,Streamside Salamander,59053,Ambystoma barbouri,Streamside Salamander,NT,decreasing,Native
aSYLFx,Rana sierrae,Sierra Nevada Yellow-legged Frog,136114,Rana sierrae,Sierra Nevada Yellow-legged Frog,EN,decreasing,Native
aSYSAx,Plethodon stormi,Siskiyou Mountains Salamander,17628,Plethodon stormi,Siskiyou Mountains Salamander,EN,decreasing,Native
aSZSAx,Plethodon ventralis,Southern Zigzag Salamander,59359,Plethodon ventralis,Southern Zigzag Salamander,LC,stable,Native
aTBSAx,Eurycea rathbuni,Texas Blind Salamander,39262,Eurycea rathbuni,Texas Blind Salamander,VU,stable,Native
aTCSAx,Gyrinophilus palleucus,Tennessee Cave Salamander,59281,Gyrinophilus palleucus,Tennessee Cave Salamander,VU,decreasing,Native
aTESAx,Plethodon aureolus,Tellico Salamander,59332,Plethodon aureolus,Tellico Salamander,DD,unknown,Native
aTETOx,Anaxyrus speciosus,Texas Toad,54761,Anaxyrus speciosus,Texas Toad,LC,stable,Native
aTHAMx,Amphiuma tridactylum,Three-toed Amphiuma,59076,Amphiuma tridactylum,Three-toed Amphiuma,LC,stable,Native
aTLSAx,Eurycea guttolineata,Three-lined Salamander,59265,Eurycea guttolineata,Three-lined Salamander,LC,stable,Native
aTSSAx,Batrachoseps stebbinsi,Tehachapi Slender Salamander,2648,Batrachoseps stebbinsi,Tehachapi Slender Salamander,VU,unknown,Native
aTWAMx,Amphiuma means,Two-toed Amphiuma,59074,Amphiuma means,Two-toed Amphiuma,LC,unknown,Native
aTXSAx,Eurycea neotenes,Texas Salamander,59272,Eurycea neotenes,Texas Salamander,VU,unknown,Native
aUCFRx,Pseudacris feriarum,Upland Chorus Frog,55893,Pseudacris feriarum,Upland Chorus Frog,LC,stable,Native
aVDSAx,Plethodon vandykei,Van Dyke's Salamander,59357,Plethodon vandykei,Van Dyke's Salamander,LC,stable,Native
aVFSAx,Eurycea troglodytes,Valdina Farms Salamander,59276,Eurycea troglodytes,Eurycea Troglodytes Complex,DD,unknown,Native
aVRSAx,Plethodon hoffmani,Valley And Ridge Salamander,59341,Plethodon hoffmani,Valley And Ridge Salamander,LC,stable,Native
aWASAx,Aneides vagrans,Wandering Salamander,59119,Aneides vagrans,Wandering Salamander,NT,decreasing,Native
aWBSAx,Plethodon websteri,Webster's Salamander,59361,Plethodon websteri,Webster's Salamander,LC,decreasing,Native
aWCFRx,Pseudacris triseriata,Western Chorus Frog,55899,Pseudacris triseriata,Western Chorus Frog,LC,decreasing,Native
aWESPx,Spea hammondii,Western Spadefoot,59045,Spea hammondii,Western Spadefoot Toad,NT,decreasing,Native
aWHSAx,Plethodon wehrlei,Wehrle's Salamander,59362,Plethodon wehrlei,Wehrle's Salamander,LC,stable,Native
aWLSAx,Plethodon welleri,Weller's Salamander,59363,Plethodon welleri,Weller's Salamander,EN,decreasing,Native
aWNMTx,Gastrophryne olivacea,Western Narrow-mouthed Toad,57815,Gastrophryne olivacea,Great Plains Narrowmouth Toad,LC,stable,Native
aWOFRx,Lithobates sylvaticus,Wood Frog,58728,Lithobates sylvaticus,Wood Frog,LC,stable,Native
aWOTOx,Anaxyrus woodhousii,Woodhouse's Toad,54798,Anaxyrus woodhousii,Woodhouse's Toad,LC,stable,Native
aWRBSx,Plethodon vehiculum,Western Red-backed Salamander,59358,Plethodon vehiculum,Western Redback Salamander,LC,stable,Native
aWSSAx,Plethodon albagula,Western Slimy Salamander,59329,Plethodon albagula,White-throated Slimy Salamander,LC,stable,Native
aWSSSx,Plethodon cylindraceus,White-spotted Slimy Salamander,59335,Plethodon cylindraceus,White-spotted Slimy Salamander,LC,stable,Native
aWVSSx,Gyrinophilus subterraneus,West Virginia Spring Salamander,59283,Gyrinophilus subterraneus,West Virginia Spring Salamander,EN,unknown,Native
aWYTOx,Anaxyrus baxteri,Wyoming Toad,54583,Anaxyrus baxteri,Wyoming Toad,EW,decreasing,Native
aYOSAx,Plethodon yonahlossee,Yonahlossee Salamander,59364,Plethodon yonahlossee,Yonahlossee Salamander,LC,stable,Native
aYOTOx,Anaxyrus canorus,Yosemite Toad,3180,Anaxyrus canorus,Yosemite Park Toad,EN,decreasing,Native
bABDUx,Anas rubripes,American Black Duck,22680174,Anas rubripes,American Black Duck,LC,decreasing,Native
bABTOx,Pipilo aberti,Abert's Towhee,22721315,Melozone aberti,Abert's Towhee,LC,increasing,Native
bACFLx,Empidonax virescens,Acadian Flycatcher,22699842,Empidonax virescens,Acadian Flycatcher,LC,stable,Native
bACWOx,Melanerpes formicivorus,Acorn Woodpecker,22680813,Melanerpes formicivorus,Acorn Woodpecker,LC,increasing,Native
bALFLx,Empidonax alnorum,Alder Flycatcher,22699845,Empidonax alnorum,Alder Flycatcher,LC,stable,Native
bALHUx,Selasphorus sasin,Allen's Hummingbird,22688299,Selasphorus sasin,Allen's Hummingbird,LC,increasing,Native
bALORx,Icterus gularis,Altamira Oriole,22724108,Icterus gularis,Altamira Oriole,LC,increasing,Native
bAMAVx,Recurvirostra americana,American Avocet,22693717,Recurvirostra americana,American Avocet,LC,stable,Native
bAMBIx,Botaurus lentiginosus,American Bittern,22697340,Botaurus lentiginosus,American Bittern,LC,decreasing,Native
bAMCOx,Fulica americana,American Coot,62169677,Fulica americana,American Coot,LC,decreasing,Native
bAMCRx,Corvus brachyrhynchos,American Crow,22705990,Corvus brachyrhynchos,American Crow,LC,increasing,Native
bAMDIx,Cinclus mexicanus,American Dipper,22708163,Cinclus mexicanus,American Dipper,LC,stable,Native
bAMFLx,Phoenicopterus ruber,American Flamingo,22729706,Phoenicopterus ruber,American Flamingo,LC,increasing,Native
bAMGOx,Carduelis tristis,American Goldfinch,22720407,Spinus tristis,American Goldfinch,LC,increasing,Native
bAMKEx,Falco sparverius,American Kestrel,22696395,Falco sparverius,American Kestrel,LC,stable,Native
bAMOYx,Haematopus palliatus,American Oystercatcher,22693644,Haematopus palliatus,American Oystercatcher,LC,stable,Native
bAMPIx,Anthus rubescens,American Pipit,22718575,Anthus rubescens,Buff-bellied Pipit,LC,decreasing,Native
bAMREx,Setophaga ruticilla,American Redstart,22721762,Setophaga ruticilla,American Redstart,LC,decreasing,Native
bAMROx,Turdus migratorius,American Robin,103889499,Turdus migratorius,American Robin,LC,increasing,Native
bAMWIx,Anas americana,American Wigeon,22680163,Mareca americana,American Wigeon,LC,stable,Native
bAMWOx,Scolopax minor,American Woodcock,22693072,Scolopax minor,American Woodcock,LC,decreasing,Native
bANHIx,Anhinga anhinga,Anhinga,22696702,Anhinga anhinga,Anhinga,LC,decreasing,Native
bANHUx,Calypte anna,Anna's Hummingbird,22688199,Calypte anna,Anna's Hummingbird,LC,increasing,Native
bANNIx,Chordeiles gundlachii,Antillean Nighthawk,22689717,Chordeiles gundlachii,Antillean Nighthawk,LC,stable,Native
bAPFAx,Falco femoralis,Aplomado Falcon,22696450,Falco femoralis,Aplomado Falcon,LC,decreasing,Native
bARTEx,Sterna paradisaea,Arctic Tern,22694629,Sterna paradisaea,Arctic Tern,LC,decreasing,Native
bARWOx,Picoides arizonae,Arizona Woodpecker,22729044,Leuconotopicus arizonae,Arizona Woodpecker,LC,increasing,Native
bASSPx,Oceanodroma homochroa,Ashy Storm-petrel,22698562,Hydrobates homochroa,Ashy Storm-petrel,EN,decreasing,Native
bATBRx,Branta bernicla,Brant,22679946,Branta bernicla,Brent Goose,LC,unknown,Native
bATFLx,Myiarchus cinerascens,Ash-throated Flycatcher,22700427,Myiarchus cinerascens,Ash-throated Flycatcher,LC,increasing,Native
bATPUx,Fratercula arctica,Atlantic Puffin,22694927,Fratercula arctica,Atlantic Puffin,VU,decreasing,Native
bATSPx,Spizella arborea,American Tree Sparrow,22721159,Passerella arborea,American Tree Sparrow,LC,decreasing,Native
bATTWx,Picoides dorsalis,American Three-toed Woodpecker,22727137,Picoides tridactylus,Three-toed Woodpecker,LC,stable,Native
bAUORx,Icterus graduacauda,Audubon's Oriole,22724081,Icterus graduacauda,Audubon's Oriole,LC,decreasing,Native
bAWPEx,Pelecanus erythrorhynchos,American White Pelican,22697611,Pelecanus erythrorhynchos,American White Pelican,LC,increasing,Native
bBACSx,Aimophila aestivalis,Bachman's Sparrow,22721256,Peucaea aestivalis,Bachman's Sparrow,NT,decreasing,Native
bBADOx,Strix varia,Barred Owl,22689094,Strix varia,Barred Owl,LC,increasing,Native
bBAEAx,Haliaeetus leucocephalus,Bald Eagle,22695144,Haliaeetus leucocephalus,Bald Eagle,LC,increasing,Native
bBAGOx,Bucephala islandica,Barrow's Goldeneye,22680459,Bucephala islandica,Barrow's Goldeneye,LC,increasing,Native
bBAISx,Ammodramus bairdii,Baird's Sparrow,22721141,Passerculus bairdii,Baird's Sparrow,LC,decreasing,Native
bBANOx,Tyto alba,Barn Owl,22688504,Tyto alba,Common Barn-owl,LC,stable,Native
bBANSx,Riparia riparia,Bank Swallow,103815961,Riparia riparia,Collared Sand Martin,LC,decreasing,Native
bBAORx,Icterus galbula,Baltimore Oriole,22724126,Icterus galbula,Baltimore Oriole,LC,stable,Native
bBARSx,Hirundo rustica,Barn Swallow,22712252,Hirundo rustica,Barn Swallow,LC,decreasing,Native
bBAWWx,Mniotilta varia,Black-and-White Warbler,22721758,Mniotilta varia,Black-and-white Warbler,LC,decreasing,Native
bBBCUx,Coccyzus erythropthalmus,Black-billed Cuckoo,22684328,Coccyzus erythropthalmus,Black-billed Cuckoo,LC,decreasing,Native
bBBEHx,Amazilia yucatanensis,Buff-bellied Hummingbird,22687606,Amazilia yucatanensis,Buff-bellied Hummingbird,LC,increasing,Native
bBBFLx,Empidonax fulvifrons,Buff-breasted Flycatcher,22699880,Empidonax fulvifrons,Buff-breasted Flycatcher,LC,decreasing,Native
bBBIHx,Cynanthus latirostris,Broad-billed Hummingbird,22725767,Cynanthus latirostris,Broad-billed Hummingbird,LC,increasing,Native
bBBMAx,Pica hudsonia,Black-billed Magpie,103727176,Pica hudsonia,Black-billed Magpie,LC,stable,Native
bBBPLx,Pluvialis squatarola,Black-bellied Plover,22693749,Pluvialis squatarola,Grey Plover,LC,decreasing,Native
bBBWAx,Dendroica castanea,Bay-breasted Warbler,22721734,Setophaga castanea,Bay-breasted Warbler,LC,decreasing,Native
bBBWDx,Dendrocygna autumnalis,Black-bellied Whistling-Duck,22679780,Dendrocygna autumnalis,Black-bellied Whistling-duck,LC,increasing,Native
bBBWOx,Picoides arcticus,Black-backed Woodpecker,22681181,Picoides arcticus,Black-backed Woodpecker,LC,stable,Native
bBCCHx,Poecile atricapillus,Black-capped Chickadee,22711716,Poecile atricapillus,Black-capped Chickadee,LC,increasing,Native
bBCFLx,Myiarchus tyrannulus,Brown-crested Flycatcher,22700436,Myiarchus tyrannulus,Brown-crested Flycatcher,LC,increasing,Native
bBCHUx,Archilochus alexandri,Black-chinned Hummingbird,22688196,Archilochus alexandri,Black-chinned Hummingbird,LC,increasing,Native
bBCNHx,Nycticorax nycticorax,Black-crowned Night-heron,22697211,Nycticorax nycticorax,Black-crowned Night-heron,LC,decreasing,Native
bBCNIx,Caprimulgus ridgwayi,Buff-collared Nightjar,22689801,Antrostomus ridgwayi,Buff-collared Nightjar,LC,decreasing,Native
bBCRFx,Leucosticte australis,Brown-capped Rosy-finch,22728985,Leucosticte australis,Brown-capped Rosy-finch,EN,decreasing,Native
bBCSPx,Spizella atrogularis,Black-chinned Sparrow,22721185,Spizella atrogularis,Black-chinned Sparrow,LC,decreasing,Native
bBCTIx,Baeolophus atricristatus,Black-crested Titmouse,22711989,Baeolophus atricristatus,Black-crested Titmouse,LC,stable,Native
bBCVIx,Vireo atricapilla,Black-capped Vireo,22705159,Vireo atricapilla,Black-capped Vireo,VU,decreasing,Native
bBEKIx,Megaceryle alcyon,Belted Kingfisher,22683623,Megaceryle alcyon,Belted Kingfisher,LC,stable,Native
bBETHx,Toxostoma bendirei,Bendire's Thrasher,22711108,Toxostoma bendirei,Bendire's Thrasher,VU,decreasing,Native
bBEVIx,Vireo bellii,Bell's Vireo,22705156,Vireo bellii,Bell's Vireo,LC,increasing,Native
bBEWRx,Thryomanes bewickii,Bewick's Wren,22711377,Thryomanes bewickii,Bewick's Wren,LC,stable,Native
bBGGNx,Polioptila caerulea,Blue-gray Gnatcatcher,22711581,Polioptila caerulea,Blue-grey Gnatcatcher,LC,increasing,Native
bBHCOx,Molothrus ater,Brown-headed Cowbird,22724354,Molothrus ater,Brown-headed Cowbird,LC,decreasing,Native
bBHGRx,Pheucticus melanocephalus,Black-headed Grosbeak,22723816,Pheucticus melanocephalus,Black-headed Grosbeak,LC,increasing,Native
bBHNUx,Sitta pusilla,Brown-headed Nuthatch,103881613,Sitta pusilla,Brown-headed Nuthatch,LC,decreasing,Native
bBHVIx,Vireo solitarius,Blue-headed Vireo,22705234,Vireo solitarius,Blue-headed Vireo,LC,increasing,Native
bBITHx,Catharus bicknelli,Bicknell's Thrush,22728467,Catharus bicknelli,Bicknell's Thrush,VU,decreasing,Native
bBLBWx,Dendroica fusca,Blackburnian Warbler,22721695,Setophaga fusca,Blackburnian Warbler,LC,increasing,Native
bBLGRx,Passerina caerulea,Blue Grosbeak,22723939,Passerina caerulea,Blue Grosbeak,LC,increasing,Native
bBLGUx,Cepphus grylle,Black Guillemot,22694861,Cepphus grylle,Black Guillemot,LC,unknown,Native
bBLJAx,Cyanocitta cristata,Blue Jay,22705611,Cyanocitta cristata,Blue Jay,LC,stable,Native
bBLOYx,Haematopus bachmani,Black Oystercatcher,62015238,Haematopus ater,Blackish Oystercatcher,LC,unknown,Native
bBLPHx,Sayornis nigricans,Black Phoebe,22699892,Sayornis nigricans,Black Phoebe,LC,increasing,Native
bBLPWx,Dendroica striata,Blackpoll Warbler,22721737,Setophaga striata,Blackpoll Warbler,NT,decreasing,Native
bBLRAx,Laterallus jamaicensis,Black Rail,22692353,Laterallus jamaicensis,Black Rail,NT,decreasing,Native
bBLRFx,Leucosticte atrata,Black Rosy-finch,22720488,Leucosticte atrata,Black Rosy-finch,EN,decreasing,Native
bBLSCx,Melanitta nigra,Black Scoter,22732425,Melanitta americana,Black Scoter,NT,decreasing,Native
bBLSKx,Rynchops niger,Black Skimmer,22694256,Rynchops niger,Black Skimmer,LC,decreasing,Native
bBLSWx,Cypseloides niger,Black Swift,22686440,Cypseloides niger,Black Swift,VU,decreasing,Native
bBLTEx,Chlidonias niger,Black Tern,22694787,Chlidonias niger,Black Tern,LC,decreasing,Native
bBLTUx,Arenaria melanocephala,Black Turnstone,22693341,Arenaria melanocephala,Black Turnstone,LC,stable,Native
bBLVUx,Coragyps atratus,Black Vulture,22697624,Coragyps atratus,American Black Vulture,LC,increasing,Native
bBNSTx,Himantopus mexicanus,Black-necked Stilt,22727969,Himantopus himantopus,Black-winged Stilt,LC,increasing,Native
bBOBOx,Dolichonyx oryzivorus,Bobolink,22724367,Dolichonyx oryzivorus,Bobolink,LC,decreasing,Native
bBOCHx,Poecile hudsonica,Boreal Chickadee,22711759,Poecile hudsonicus,Boreal Chickadee,LC,decreasing,Native
bBOGUx,Chroicocephalus philadelphia,Bonaparte's Gull,22694432,Larus philadelphia,Bonaparte's Gull,LC,increasing,Native
bBOOWx,Aegolius funereus,Boreal Owl,22689362,Aegolius funereus,Boreal Owl,LC,stable,Native
bBOSPx,Aimophila botterii,Botteri's Sparrow,22721264,Peucaea botterii,Botteri's Sparrow,LC,stable,Native
bBOWAx,Bombycilla garrulus,Bohemian Waxwing,22708146,Bombycilla garrulus,Bohemian Waxwing,LC,increasing,Native
bBRACx,Phalacrocorax penicillatus,Brandt's Cormorant,22696753,Urile penicillatus,Brandt's Cormorant,LC,decreasing,Native
bBRBLx,Euphagus cyanocephalus,Brewer's Blackbird,22724332,Euphagus cyanocephalus,Brewer's Blackbird,LC,decreasing,Native
bBRCRx,Certhia americana,Brown Creeper,22711244,Certhia americana,American Treecreeper,LC,stable,Native
bBRJAx,Cyanocorax morio,Brown Jay,22705742,Cyanocorax morio,Brown Jay,LC,increasing,Native
bBRNOx,Anous stolidus,Brown Noddy,22694794,Anous stolidus,Brown Noddy,LC,stable,Native
bBROCx,Molothrus aeneus,Bronzed Cowbird,22732035,Molothrus aeneus,Bronzed Cowbird,LC,stable,Native
bBRPEx,Pelecanus occidentalis,Brown Pelican,22733989,Pelecanus occidentalis,Brown Pelican,LC,increasing,Native
bBRSPx,Spizella breweri,Brewer's Sparrow,22734705,Spizella breweri,Brewer's Sparrow,LC,decreasing,Native
bBRTEx,Onychoprion anaethetus,Bridled Tern,22694730,Onychoprion anaethetus,Bridled Tern,LC,unknown,Native
bBRTHx,Toxostoma rufum,Brown Thrasher,22711099,Toxostoma rufum,Brown Thrasher,LC,decreasing,Native
bBRTIx,Baeolophus wollweberi,Bridled Titmouse,22711969,Baeolophus wollweberi,Bridled Titmouse,LC,stable,Native
bBTAHx,Selasphorus platycercus,Broad-tailed Hummingbird,22688293,Selasphorus platycercus,Broad-tailed Hummingbird,LC,stable,Native
bBTBWx,Dendroica caerulescens,Black-throated Blue Warbler,22721673,Setophaga caerulescens,Black-throated Blue Warbler,LC,increasing,Native
bBTGNx,Polioptila melanura,Black-tailed Gnatcatcher,22711588,Polioptila melanura,Black-tailed Gnatcatcher,LC,decreasing,Native
bBTGRx,Quiscalus major,Boat-tailed Grackle,22724311,Quiscalus major,Boat-tailed Grackle,LC,increasing,Native
bBTHHx,Lampornis clemenciae,Blue-throated Hummingbird,22687664,Lampornis clemenciae,Blue-throated Hummingbird,LC,increasing,Native
bBTNWx,Dendroica virens,Black-throated Green Warbler,22721689,Setophaga virens,Black-throated Green Warbler,LC,decreasing,Native
bBTPIx,Patagioenas fasciata,Band-tailed Pigeon,22725264,Patagioenas fasciata,Northern Band-tailed Pigeon,LC,decreasing,Native
bBTSPx,Amphispiza bilineata,Black-throated Sparrow,22721194,Amphispiza bilineata,Black-throated Sparrow,LC,decreasing,Native
bBTYWx,Dendroica nigrescens,Black-throated Gray Warbler,22721679,Setophaga nigrescens,Black-throated Grey Warbler,LC,stable,Native
bBUFFx,Bucephala albeola,Bufflehead,22680462,Bucephala albeola,Bufflehead,LC,increasing,Native
bBUORx,Icterus bullockii,Bullock's Oriole,22729123,Icterus bullockiorum,Bullock's Oriole,LC,stable,Native
bBUOWx,Athene cunicularia,Burrowing Owl,22689353,Athene cunicularia,Burrowing Owl,LC,decreasing,Native
bBUSHx,Psaltriparus minimus,Bushtit,22712028,Psaltriparus minimus,American Bushtit,LC,stable,Native
bBWHAx,Buteo platypterus,Broad-winged Hawk,22695891,Buteo platypterus,Broad-winged Hawk,LC,increasing,Native
bBWTEx,Anas discors,Blue-winged Teal,22680229,Spatula discors,Blue-winged Teal,LC,decreasing,Native
bBWVIx,Vireo altiloquus,Black-whiskered Vireo,22705254,Vireo altiloquus,Black-whiskered Vireo,LC,unknown,Native
bBWWAx,Vermivora pinus,Blue-winged Warbler,22721610,Vermivora cyanoptera,Blue-winged Warbler,LC,decreasing,Native
bCAAUx,Ptychoramphus aleuticus,Cassin's Auklet,22694903,Ptychoramphus aleuticus,Cassin's Auklet,NT,decreasing,Native
bCACGx,Branta hutchinsii,Cackling Goose,22733619,Branta hutchinsii,Cackling Goose,LC,unknown,Native
bCACHx,Poecile carolinensis,Carolina Chickadee,22711708,Poecile carolinensis,Carolina Chickadee,LC,stable,Native
bCACOx,Gymnogyps californianus,California Condor,22697636,Gymnogyps californianus,California Condor,CR,increasing,Native
bCACWx,Campylorhynchus brunneicapillus,Cactus Wren,22711287,Campylorhynchus brunneicapillus,Cactus Wren,LC,decreasing,Native
bCAEGx,Bubulcus ibis,Cattle Egret,22697109,Bubulcus ibis,Cattle Egret,LC,increasing,Native
bCAFIx,Carpodacus cassinii,Cassin's Finch,22720560,Haemorhous cassinii,Cassin's Finch,NT,decreasing,Native
bCAGNx,Polioptila californica,California Gnatcatcher,22711585,Polioptila californica,California Gnatcatcher,LC,decreasing,Native
bCAGUx,Larus californicus,California Gull,22694321,Larus californicus,California Gull,LC,decreasing,Native
bCAHUx,Stellula calliope,Calliope Hummingbird,22688232,Selasphorus calliope,Calliope Hummingbird,LC,stable,Native
bCAKIx,Tyrannus vociferans,Cassin's Kingbird,22700491,Tyrannus vociferans,Cassin's Kingbird,LC,stable,Native
bCALTx,Pipilo crissalis,California Towhee,22721323,Melozone crissalis,California Towhee,LC,decreasing,Native
bCANGx,Branta canadensis,Canada Goose,22679935,Branta canadensis,Canada Goose,LC,increasing,Native
bCANTx,Pipilo fuscus,Canyon Towhee,22721331,Melozone fusca,Canyon Towhee,LC,stable,Native
bCANVx,Aythya valisineria,Canvasback,22680364,Aythya valisineria,Canvasback,LC,decreasing,Native
bCANWx,Catherpes mexicanus,Canyon Wren,22711335,Catherpes mexicanus,Canyon Wren,LC,decreasing,Native
bCAQUx,Callipepla californica,California Quail,22679603,Callipepla californica,California Quail,LC,increasing,Native
bCARWx,Thryothorus ludovicianus,Carolina Wren,103887192,Thryothorus ludovicianus,Carolina Wren,LC,increasing,Native
bCASPx,Aimophila cassinii,Cassin's Sparrow,22721272,Peucaea cassinii,Cassin's Sparrow,LC,decreasing,Native
bCASWx,Petrochelidon fulva,Cave Swallow,22712435,Petrochelidon fulva,Cave Swallow,LC,increasing,Native
bCATEx,Hydroprogne caspia,Caspian Tern,22694524,Hydroprogne caspia,Caspian Tern,LC,increasing,Native
bCATHx,Toxostoma redivivum,California Thrasher,22711124,Toxostoma redivivum,California Thrasher,LC,decreasing,Native
bCAVIx,Vireo cassinii,Cassin's Vireo,22705228,Vireo cassinii,Cassin's Vireo,LC,increasing,Native
bCAWAx,Wilsonia canadensis,Canada Warbler,22721882,Cardellina canadensis,Canada Warbler,LC,decreasing,Native
bCBCHx,Poecile rufescens,Chestnut-backed Chickadee,22711767,Poecile rufescens,Chestnut-backed Chickadee,LC,increasing,Native
bCBTHx,Toxostoma curvirostre,Curve-billed Thrasher,22711115,Toxostoma curvirostre,Curve-billed Thrasher,LC,decreasing,Native
bCCLOx,Calcarius ornatus,Chestnut-collared Longspur,22721040,Calcarius ornatus,Chestnut-collared Longspur,VU,decreasing,Native
bCCSPx,Spizella pallida,Clay-colored Sparrow,22721165,Spizella pallida,Clay-colored Sparrow,LC,decreasing,Native
bCEDWx,Bombycilla cedrorum,Cedar Waxwing,22708153,Bombycilla cedrorum,Cedar Waxwing,LC,increasing,Native
bCERWx,Dendroica cerulea,Cerulean Warbler,22721740,Setophaga cerulea,Cerulean Warbler,VU,decreasing,Native
bCHRAx,Corvus cryptoleucus,Chihuahuan Raven,22706055,Corvus cryptoleucus,Chihuahuan Raven,LC,stable,Native
bCHSPx,Spizella passerina,Chipping Sparrow,22721162,Spizella passerina,Chipping Sparrow,LC,increasing,Native
bCHSWx,Chaetura pelagica,Chimney Swift,22686709,Chaetura pelagica,Chimney Swift,VU,decreasing,Native
bCHUKx,Alectoris chukar,Chukar,22678691,Alectoris chukar,Chukar,LC,stable,Native
bCITEx,Anas cyanoptera,Cinnamon Teal,22680233,Spatula cyanoptera,Cinnamon Teal,LC,decreasing,Native
bCLGRx,Aechmophorus clarkii,Clark's Grebe,22696634,Aechmophorus clarkii,Clark's Grebe,LC,decreasing,Native
bCLNUx,Nucifraga columbiana,Clark's Nutcracker,22705909,Nucifraga columbiana,Clark's Nutcracker,LC,stable,Native
bCLRAx,Rallus longirostris,Clapper Rail,62155296,Rallus crepitans,Clapper Rail,LC,decreasing,Native
bCLSWx,Petrochelidon pyrrhonota,Cliff Swallow,22712427,Petrochelidon pyrrhonota,Cliff Swallow,LC,increasing,Native
bCMWAx,Dendroica tigrina,Cape May Warbler,22721670,Setophaga tigrina,Cape May Warbler,LC,stable,Native
bCOBHx,Buteogallus anthracinus,Common Black-hawk,22735514,Buteogallus anthracinus,Common Black Hawk,LC,decreasing,Native
bCOEIx,Somateria mollissima,Common Eider,22680405,Somateria mollissima,Common Eider,NT,unknown,Native
bCOFLx,Empidonax occidentalis,Cordilleran Flycatcher,22699874,Empidonax occidentalis,Cordilleran Flycatcher,LC,decreasing,Native
bCOGDx,Columbina passerina,Common Ground-dove,22690774,Columbina passerina,Common Ground-dove,LC,decreasing,Native
bCOGOx,Bucephala clangula,Common Goldeneye,22680455,Bucephala clangula,Common Goldeneye,LC,stable,Native
bCOGRx,Quiscalus quiscula,Common Grackle,22724320,Quiscalus quiscula,Common Grackle,NT,decreasing,Native
bCOHAx,Accipiter cooperii,Cooper's Hawk,22695656,Accipiter cooperii,Cooper's Hawk,LC,increasing,Native
bCOHUx,Calypte costae,Costa's Hummingbird,22688202,Calypte costae,Costa's Hummingbird,LC,stable,Native
bCOKIx,Tyrannus couchii,Couch's Kingbird,22700488,Tyrannus couchii,Couch's Kingbird,LC,increasing,Native
bCOLOx,Gavia immer,Common Loon,22697842,Gavia immer,Common Loon,LC,stable,Native
bCOLWx,Vermivora crissalis,Colima Warbler,22721633,Leiothlypis crissalis,Colima Warbler,LC,decreasing,Native
bCOMEx,Mergus merganser,Common Merganser,22680492,Mergus merganser,Goosander,LC,unknown,Native
bCOMUx,Uria aalge,Common Murre,22694841,Uria aalge,Common Murre,LC,increasing,Native
bCOMYx,Acridotheres tristis,Common Myna,22710921,Acridotheres tristis,Common Myna,LC,increasing,Introduced
bCONIx,Chordeiles minor,Common Nighthawk,22689714,Chordeiles minor,Common Nighthawk,LC,decreasing,Native
